mb_code	post_code	ssc_name	state_code
10310340000	"2580"	"Lower Boro"	NSW
11003320000	"2622"	"Oallen"	NSW
10576010000	"2622"	"Braidwood"	NSW
10996160000	"2622"	"Majors Creek"	NSW
10575900000	"2622"	"Araluen"	NSW
10996150000	"2622"	"Berlang"	NSW
10575150000	"2622"	"Monga"	NSW
10248950000	"2622"	"Neringla"	NSW
10575270000	"2622"	"Northangera"	NSW
11204968400	"2622"	"Reidsdale"	NSW
10575220000	"2622"	"Kindervale"	NSW
10575390000	"2622"	"Jerrabattgulla"	NSW
10575570000	"2622"	"Bendoura"	NSW
10996240000	"2622"	"Bombay"	NSW
10576340000	"2622"	"Harolds Cross"	NSW
10576470000	"2622"	"Wyanbene"	NSW
10576460000	"2622"	"Jinden"	NSW
10576280000	"2622"	"Snowball"	NSW
11204888600	"2622"	"Hereford Hall"	NSW
10575010000	"2622"	"Jembaicumbene"	NSW
10996230000	"2622"	"Farringdon"	NSW
11205186300	"2622"	"Krawarree"	NSW
11207060000	"2622"	"Ballalaba"	NSW
10575490000	"2622"	"Boro"	NSW
10575790000	"2622"	"Durran Durra"	NSW
10576740000	"2622"	"Marlowe"	NSW
10575590000	"2580"	"Mayfield"	NSW
10575470000	"2622"	"Warri"	NSW
11208290000	"2622"	"Larbert"	NSW
10575460000	"2622"	"Manar"	NSW
10576720000	"2622"	"Tomboye"	NSW
10575710000	"2622"	"Corang"	NSW
10995930000	"2622"	"Nerriga"	NSW
10575100000	"2622"	"Back Creek"	NSW
11205009300	"2622"	"Mongarlowe"	NSW
11209540000	"2622"	"Wog Wog"	NSW
10708380000	"2622"	"Budawang"	NSW
10575740000	"2622"	"Charleys Forest"	NSW
10636270000	"2620"	"Karabar"	NSW
11205183100	"2620"	"Queanbeyan"	NSW
10636852000	"2620"	"Crestwood"	NSW
11204743200	"2620"	"Queanbeyan East"	NSW
10638230000	"2620"	"Greenleigh"	NSW
10638240000	"2620"	"The Ridgeway"	NSW
11204564500	"2621"	"Bungendore"	NSW
10575512000	"2581"	"Lake George"	NSW
10911861000	"2620"	"Sutton"	NSW
10640930000	"2620"	"Carwoola"	NSW
10573900000	"2621"	"Forbes Creek"	NSW
10575250000	"2622"	"Palerang"	NSW
10574060000	"2621"	"Hoskinstown"	NSW
10574240000	"2621"	"Rossi"	NSW
10995620000	"2623"	"Captains Flat"	NSW
10574480000	"2620"	"Burra"	NSW
10232440000	"2620"	"The Angle"	NSW
10232510000	"2620"	"Clear Range"	NSW
10573870000	"2620"	"Williamsdale"	NSW
11205189600	"2580"	"Mount Fairy"	NSW
10575170000	"2622"	"Mulloon"	NSW
10574280000	"2620"	"Royalla"	NSW
10233970000	"2622"	"Jingera"	NSW
10233110000	"2621"	"Anembo"	NSW
10574690000	"2620"	"Tinderry"	NSW
10995680000	"2620"	"Yarrow"	NSW
10574910000	"2621"	"Primrose Valley"	NSW
11208310000	"2620"	"Urila"	NSW
10310280000	"2580"	"Tarago"	NSW
10575530000	"2580"	"Currawang"	NSW
11205461400	"2620"	"Googong"	NSW
10574880000	"2620"	"Wamboin"	NSW
10913630000	"2621"	"Bywong"	NSW
10234171000	"2620"	"Michelago"	NSW
10636710000	"2620"	"Tralee"	NSW
10638410000	"2619"	"Jerrabomberra"	NSW
11209791000	"2620"	"Environa"	NSW
10639890000	"2620"	"Queanbeyan West"	NSW
11205473000	"2633"	"Delegate"	NSW
10129871000	"2632"	"Bombala"	NSW
10129190000	"2630"	"Bungarby"	NSW
10129250000	"2632"	"Palarang"	NSW
10129380000	"2631"	"Boco"	NSW
10129390000	"2631"	"Jincumbilly"	NSW
10129260000	"2632"	"Gunningrah"	NSW
10129340000	"2632"	"Bukalong"	NSW
10129980000	"2632"	"Merriangaah"	NSW
10129360000	"2632"	"Cambalong"	NSW
10129370000	"2631"	"Holts Flat"	NSW
10129270000	"2631"	"Mount Cooper"	NSW
10129530000	"2632"	"Craigie"	NSW
10129300000	"2633"	"Tombong"	NSW
10129960000	"2632"	"Quidong"	NSW
10129900000	"2632"	"Mila"	NSW
11000190000	"2628"	"Byadbo Wilderness"	NSW
10129440000	"2633"	"Corrowong"	NSW
10929070000	"2632"	"Cathcart"	NSW
10129840000	"2632"	"Bibbenluke"	NSW
11000140000	"2631"	"Glen Allen"	NSW
10129500000	"2631"	"Ando"	NSW
10129410000	"2631"	"Creewah"	NSW
10129950000	"2632"	"Paddys Flat"	NSW
10129850000	"2632"	"Rockton"	NSW
11000110000	"2632"	"Coolumbooka"	NSW
10129330000	"2632"	"Bondi Forest"	NSW
10129200000	"2632"	"Lords Hill"	NSW
10129860000	"2632"	"Rosemeath"	NSW
11205600700	"2630"	"Cooma"	NSW
10232990000	"2630"	"Polo Flat"	NSW
10712380000	"2630"	"Pine Valley"	NSW
10712516000	"2629"	"Kosciuszko National Park"	NSW
10712760000	"2629"	"Old Adaminaby"	NSW
10712160000	"2630"	"Buckenderra"	NSW
10712150000	"2628"	"Braemar Bay"	NSW
10712170000	"2630"	"Frying Pan"	NSW
10712520000	"2629"	"Adaminaby"	NSW
10712582100	"2627"	"Kosciuszko National Park"	NSW
11204814300	"2629"	"Tantangara"	NSW
10233991000	"2631"	"Nimmitabel"	NSW
10232700000	"2629"	"Yaouk"	NSW
10234160000	"2630"	"Shannons Flat"	NSW
11209500000	"2629"	"Bolaro"	NSW
10232730000	"2630"	"Carlaminda"	NSW
10234010000	"2630"	"Dangelong"	NSW
10232610000	"2630"	"Glen Fergus"	NSW
10234200000	"2630"	"Rock Flat"	NSW
10232580000	"2630"	"Middle Flat"	NSW
10232920000	"2630"	"Numeralla"	NSW
10233890000	"2626"	"Colinton"	NSW
10232450000	"2626"	"Bumbalong"	NSW
10233850000	"2631"	"Greenlands"	NSW
10928810000	"2631"	"Steeple Flat"	NSW
10234080000	"2631"	"Kybeyan"	NSW
10234040000	"2630"	"Countegany"	NSW
10233830000	"2630"	"Tuross"	NSW
10232880000	"2631"	"Winifred"	NSW
10712320000	"2630"	"Wambrook"	NSW
10712210000	"2630"	"Rhine Falls"	NSW
10233790000	"2630"	"Dairymans Plains"	NSW
10712530000	"2630"	"Dry Plain"	NSW
10233200000	"2630"	"Binjura"	NSW
10233910000	"2630"	"Peak View"	NSW
11010700000	"2630"	"Jerangle"	NSW
10234000000	"2630"	"Badja"	NSW
10232750000	"2630"	"Rose Valley"	NSW
10233150000	"2630"	"Bunyan"	NSW
10232740000	"2630"	"Chakola"	NSW
10232522000	"2630"	"Billilingra"	NSW
